delta_t,Channel 7
,0
0.002773542,1
1.24999999999691E-07,0
0.007600708,1
1.67000000000569E-07,0
0.007605875,1
1.25000000000125E-07,0
0.007606375,1
1.65999999999361E-07,0
0.007613,1
1.66999999995365E-07,0
0.007619208,1
1.24999999996656E-07,0
0.007621084,1
1.66000000002831E-07,0
0.007621,1
1.66999999995365E-07,0
0.007613417,1
1.66000000009769E-07,0
0.007612959,1
1.65999999995892E-07,0
0.007612834,1
1.65999999995892E-07,0
0.007610417,1
1.66999999995365E-07,0
0.007603625,1
1.65999999995892E-07,0
0.007616459,1
1.65999999995892E-07,0
0.007620584,1
1.25000000003594E-07,0
0.007620666,1
1.66999999995365E-07,0
0.007614417,1
1.65999999995892E-07,0
0.007615,1
1.24999999989717E-07,0
0.007617334,1
1.65999999995892E-07,0
0.007611584,1
1.65999999995892E-07,0
0.007614834,1
1.66000000023647E-07,0
0.007618667,1
1.66999999995365E-07,0
0.007617291,1
1.66999999995365E-07,0
0.007616833,1
1.24999999989717E-07,0
0.007612459,1
1.25000000017472E-07,0
0.00761275,1
1.65999999995892E-07,0
0.007611625,1
1.66999999995365E-07,0
0.007602208,1
1.24999999989717E-07,0
0.007611167,1
1.24999999989717E-07,0
0.00761475,1
1.66999999995365E-07,0
0.007617041,1
1.66999999995365E-07,0
0.007614125,1
1.66999999995365E-07,0
0.007615541,1
1.24999999989717E-07,0
0.007623,1
1.66999999995365E-07,0
0.007616958,1
1.25000000017472E-07,0
0.007612375,1
1.25000000017472E-07,0
0.007615167,1
1.25000000017472E-07,0
0.007609375,1
1.66999999995365E-07,0
0.007608375,1
1.25000000017472E-07,0
0.007606416,1
1.66999999995365E-07,0
0.007608833,1
1.66999999995365E-07,0
0.007611292,1
1.65999999968136E-07,0
0.007612,1
1.66999999995365E-07,0
0.007608458,1
1.66999999995365E-07,0
0.007604042,1
1.25000000017472E-07,0
0.007606625,1
1.66000000023647E-07,0
0.007610167,1
1.24999999961961E-07,0
0.007617333,1
1.25000000017472E-07,0
0.007612459,1
1.65999999968136E-07,0
0.007617542,1
1.66999999995365E-07,0
0.007607291,1
1.25000000017472E-07,0
0.007603792,1
1.66999999995365E-07,0
0.007609833,1
1.66999999995365E-07,0
0.007611708,1
1.66999999995365E-07,0
0.007611416,1
1.24999999961961E-07,0
0.007615542,1
1.66999999995365E-07,0
0.007616083,1
1.25000000017472E-07,0
0.007613667,1
1.65999999968136E-07,0
0.007616875,1
1.66999999995365E-07,0
0.007609875,1
1.66999999995365E-07,0
0.007606375,1
1.25000000017472E-07,0
0.007604125,1
1.65999999968136E-07,0
0.007605792,1
1.25000000017472E-07,0
0.00760625,1
1.25000000017472E-07,0
0.007604333,1
1.66999999995365E-07,0
0.007607167,1
1.66000000023647E-07,0
0.007609917,1
1.25000000017472E-07,0
0.007614917,1
1.25000000017472E-07,0
0.007616333,1
1.67000000050876E-07,0
0.007607583,1
1.25000000017472E-07,0
