delta_t,Channel 7
,0
0.002223125,1
1.24999999999691E-07,0
0.007945458,1
1.25000000000125E-07,0
0.007958667,1
1.25000000000125E-07,0
0.007950125,1
1.25000000000125E-07,0
0.007955542,1
1.65999999995892E-07,0
0.007950042,1
1.24999999996656E-07,0
0.007948708,1
1.66999999995365E-07,0
0.007941667,1
1.66000000002831E-07,0
0.007943959,1
1.65999999995892E-07,0
0.007951417,1
1.67000000009243E-07,0
0.007953791,1
1.25000000003594E-07,0
0.007952959,1
1.24999999989717E-07,0
0.007955958,1
1.25000000003594E-07,0
0.007961375,1
1.66999999995365E-07,0
0.007962375,1
1.66000000009769E-07,0
0.0079595,1
1.67000000009243E-07,0
0.007958375,1
1.66999999995365E-07,0
0.007953208,1
1.66999999995365E-07,0
0.007962166,1
1.66999999995365E-07,0
0.007958083,1
1.25000000017472E-07,0
0.00795075,1
1.67000000023121E-07,0
0.007946875,1
1.66999999995365E-07,0
0.007957041,1
1.24999999989717E-07,0
0.007956625,1
1.24999999989717E-07,0
0.007962167,1
1.25000000017472E-07,0
0.007961458,1
1.66999999995365E-07,0
0.0079605,1
1.25000000017472E-07,0
0.007956792,1
1.65999999995892E-07,0
0.00795375,1
1.66999999995365E-07,0
0.00795675,1
1.24999999989717E-07,0
0.007965417,1
1.24999999989717E-07,0
0.00796,1
1.65999999995892E-07,0
0.007953709,1
1.24999999961961E-07,0
0.007956375,1
1.25000000017472E-07,0
0.007957291,1
1.66999999995365E-07,0
0.007949958,1
1.24999999961961E-07,0
0.007954084,1
1.25000000017472E-07,0
0.007956791,1
1.66999999995365E-07,0
0.007958708,1
1.66999999995365E-07,0
0.00795175,1
1.66999999995365E-07,0
0.007955541,1
1.25000000017472E-07,0
0.007949917,1
1.25000000017472E-07,0
0.007950875,1
1.24999999961961E-07,0
0.007959917,1
1.65999999968136E-07,0
0.007961959,1
1.25000000017472E-07,0
0.00796125,1
1.66000000023647E-07,0
0.007956917,1
1.25000000017472E-07,0
0.007954958,1
1.66999999995365E-07,0
0.007957083,1
1.66999999995365E-07,0
0.007958333,1
1.66999999995365E-07,0
0.007957083,1
1.25000000017472E-07,0
0.007949959,1
1.65999999968136E-07,0
0.007952334,1
1.66000000023647E-07,0
0.007948584,1
1.25000000017472E-07,0
0.007954041,1
1.24999999961961E-07,0
0.007961167,1
1.67000000050876E-07,0
0.007958541,1
1.66999999995365E-07,0
0.00795175,1
1.66999999995365E-07,0
0.007957416,1
1.67000000050876E-07,0
0.007964792,1
1.24999999961961E-07,0
0.007966916,1
1.25000000017472E-07,0
0.007958084,1
1.65999999968136E-07,0
0.007961875,1
1.25000000017472E-07,0
0.007963084,1
1.66000000079158E-07,0
0.007963459,1
1.65999999968136E-07,0
0.007953584,1
1.25000000017472E-07,0
0.007954583,1
1.67000000050876E-07,0
0.007964625,1
1.66000000079158E-07,0
0.007968334,1
1.65999999968136E-07,0
0.007956459,1
1.65999999968136E-07,0
0.007962167,1
1.25000000017472E-07,0
0.007966292,1
1.65999999968136E-07,0
0.007960542,1
1.66999999939854E-07,0
0.007958416,1
1.25000000017472E-07,0
0.007958917,1
1.25000000017472E-07,0
0.007954458,1
1.66999999939854E-07,0
0.007958875,1
1.67000000050876E-07,0
0.007958333,1
1.67000000050876E-07,0
0.007954041,1
1.25000000017472E-07,0
0.007953417,1
1.25000000017472E-07,0
0.007960042,1
1.25000000017472E-07,0
0.007962833,1
1.66999999939854E-07,0
0.007958875,1
1.65999999968136E-07,0
0.007955,1
1.67000000050876E-07,0
0.007957,1
1.2499999990645E-07,0
0.007956875,1
1.25000000017472E-07,0
0.007957042,1
1.66000000079158E-07,0
0.007959875,1
1.67000000050876E-07,0
0.007954417,1
1.25000000017472E-07,0
0.007950041,1
1.66999999939854E-07,0
0.007950875,1
1.25000000017472E-07,0
0.007948417,1
1.25000000017472E-07,0
0.007952375,1
1.25000000017472E-07,0
0.007960041,1
1.67000000050876E-07,0
0.00796225,1
1.67000000050876E-07,0
0.007964583,1
1.25000000017472E-07,0
0.007965333,1
1.25000000017472E-07,0
0.007969542,1
1.25000000017472E-07,0
0.007973125,1
1.66999999939854E-07,0
0.007973958,1
1.67000000050876E-07,0
0.007963541,1
1.66999999939854E-07,0
0.007966167,1
1.65999999968136E-07,0
0.00797175,1
1.2499999990645E-07,0
0.007975625,1
1.25000000017472E-07,0
0.007968667,1
1.67000000050876E-07,0
0.007961375,1
1.65999999968136E-07,0
0.007965459,1
1.66000000079158E-07,0
0.007957917,1
1.67000000050876E-07,0
0.007958791,1
1.67000000050876E-07,0
0.007961542,1
1.25000000017472E-07,0
0.00795375,1
1.65999999968136E-07,0
0.007958209,1
1.65999999968136E-07,0
0.007957,1
1.66999999939854E-07,0
0.007956458,1
1.67000000050876E-07,0
0.007959125,1
1.67000000050876E-07,0
0.007961416,1
1.2499999990645E-07,0
0.007954209,1
1.65999999968136E-07,0
0.00795,1
1.66999999939854E-07,0
0.007948875,1
1.66999999939854E-07,0
0.007948125,1
1.25000000017472E-07,0
0.00795275,1
1.65999999968136E-07,0
0.007947125,1
1.67000000050876E-07,0
0.007949,1
