delta_t,Channel 7
0.002382958,1
0.007622209,1
0.007629083,1
0.007639125,1
0.007634291,1
0.007634292,1
0.00763575,1
0.007627708,1
0.007634,1
0.007625375,1
0.007625584,1
0.007627083,1
0.007621917,1
0.0076185,1
0.007619625,1
0.007630375,1
0.00762475,1
0.007622792,1
0.007615875,1
0.007628709,1
0.00763275,1
0.00763625,1
0.007639542,1
0.007630583,1
0.0076375,1
0.007634042,1
0.007626916,1
0.007630375,1
0.00763625,1
0.007631667,1
0.007625833,1
0.007630625,1
0.00762675,1
0.00762725,1
0.007624417,1
0.007625667,1
0.007618041,1
0.007622,1
0.007627041,1
0.007629375,1
0.007629292,1
0.007627291,1
0.00762775,1
0.007621875,1
0.007617083,1
0.007622333,1
0.007620792,1
0.007619916,1
0.007626083,1
0.007621042,1
0.007628916,1
0.007625833,1
0.00762225,1
0.007624084,1
0.007624209,1
0.007627833,1
0.007625666,1
0.007642542,1
0.007633959,1
0.007632042,1
0.007637958,1
0.007642625,1
0.007634458,1
0.007627959,1
0.007635791,1
0.007640542,1
0.007632416,1
0.00763125,1
0.007639,1
0.007631167,1
0.007626291,1
0.007634125,1
0.007625625,1
0.007627291,1
0.007636292,1
0.007636416,1
0.007631292,1
0.0076405,1
0.007631209,1
0.007637541,1
0.007634625,1
0.007640917,1
0.007622375,1
0.0076275,1
0.007629083,1
0.007631208,1
0.007630833,1
0.007621334,1
0.007626625,1
0.007634834,1
0.007636125,1
0.007640541,1
0.007644,1
0.007640916,1
0.007635792,1
0.007634209,1
0.0076325,1
0.007639167,1
0.007637792,1
0.007639458,1
0.007640458,1
0.007644667,1
0.007642333,1
0.0076475,1
0.007645583,1
0.00765225,1
0.00764375,1
0.007647625,1
0.007645375,1
0.007645667,1
0.007644209,1
0.007641334,1
0.007645625,1
0.007638333,1
0.007641417,1
0.007644541,1
0.007648083,1
0.007641125,1
0.007636458,1
0.007637542,1
0.007630875,1
0.007624209,1
0.007627416,1
0.00763025,1
0.0076345,1
0.007635625,1
0.007635083,1
0.007628833,1
0.007635125,1
0.007631792,1
0.007628667,1
0.007627625,1
0.007627292,1
0.007630416,1
0.007627709,1
0.007632667,1
0.007634458,1
0.007639458,1
0.007634833,1
0.007638083,1
0.007635042,1
0.007635875,1
0.007634167,1
0.007644,1
0.007639875,1
0.007641292,1
0.007642333,1
0.007641292,1
0.007635583,1
0.007636,1
0.007632666,1
0.007639417,1
0.007640833,1
0.007647958,1
0.007640875,1
0.007639625,1
0.007636833,1
0.007633875,1
0.007643708,1
0.0076375,1
0.007637667,1
0.007633959,1
0.007632042,1
0.00763575,1
0.007632541,1
0.007632292,1
0.007635708,1
0.007642125,1
0.007634792,1
0.007632417,1
0.007637416,1
0.007637833,1
0.00763225,1
0.007636041,1
0.007629042,1
0.007630417,1
0.007632791,1
0.00763275,1
0.007630875,1
0.007627208,1
0.007627042,1
0.007628709,1
0.007633792,1
0.007630875,1
0.007633834,1
0.007626,1
0.007625042,1
0.007632541,1
0.007634167,1
0.007627833,1
0.00762775,1
0.007627584,1
0.007627583,1
0.007627458,1
0.007628833,1
0.007631958,1
0.007627334,1
0.007634291,1
0.007624209,1
0.007625584,1
0.007633459,1
0.007635834,1
0.007634292,1
0.007640791,1
0.007638875,1
0.007631166,1
0.007635167,1
0.007641916,1
0.007637708,1
0.00764175,1
0.007635542,1
0.007632792,1
0.007627625,1
0.007633958,1
0.007638209,1
0.007639125,1
0.007643958,1
0.00763675,1
0.007637333,1
0.007629084,1
0.007626083,1
0.007624291,1
0.007621833,1
0.007627167,1
0.007625459,1
0.007634333,1
0.007624833,1
0.007626,1
0.007619125,1
0.007629166,1
0.007623792,1
0.007629708,1
0.007636083,1
0.0076295,1
0.007635,1
0.007634,1
0.007634792,1
0.007633875,1
0.007639208,1
0.007639125,1
0.007628833,1
0.007638125,1
0.007631667,1
0.007633625,1
0.007644334,1
0.0076405,1
0.007630334,1
