delta_t,Channel 7
,0
0.002382958,1
1.25000000000125E-07,0
0.007622209,1
1.25000000000125E-07,0
0.007629083,1
1.66999999998835E-07,0
0.007639125,1
1.24999999996656E-07,0
0.007634291,1
1.25000000003594E-07,0
0.007634292,1
1.66999999995365E-07,0
0.00763575,1
1.24999999996656E-07,0
0.007627708,1
1.66999999995365E-07,0
0.007634,1
1.65999999995892E-07,0
0.007625375,1
1.25000000003594E-07,0
0.007625584,1
1.24999999989717E-07,0
0.007627083,1
1.25000000003594E-07,0
0.007621917,1
1.25000000003594E-07,0
0.0076185,1
1.65999999995892E-07,0
0.007619625,1
1.66999999995365E-07,0
0.007630375,1
1.24999999989717E-07,0
0.00762475,1
1.24999999989717E-07,0
0.007622792,1
1.65999999995892E-07,0
0.007615875,1
1.25000000017472E-07,0
0.007628709,1
1.25000000017472E-07,0
0.00763275,1
1.65999999995892E-07,0
0.00763625,1
1.24999999989717E-07,0
0.007639542,1
1.66999999995365E-07,0
0.007630583,1
1.66999999995365E-07,0
0.0076375,1
1.65999999995892E-07,0
0.007634042,1
1.66999999995365E-07,0
0.007626916,1
1.66999999995365E-07,0
0.007630375,1
1.24999999989717E-07,0
0.00763625,1
1.24999999989717E-07,0
0.007631667,1
1.24999999989717E-07,0
0.007625833,1
1.66999999995365E-07,0
0.007630625,1
1.65999999995892E-07,0
0.00762675,1
1.66999999995365E-07,0
0.00762725,1
1.24999999961961E-07,0
0.007624417,1
1.66000000023647E-07,0
0.007625667,1
1.66999999995365E-07,0
0.007618041,1
1.66999999995365E-07,0
0.007622,1
1.66999999995365E-07,0
0.007627041,1
1.24999999961961E-07,0
0.007629375,1
1.66999999995365E-07,0
0.007629292,1
1.25000000017472E-07,0
0.007627291,1
1.25000000017472E-07,0
0.00762775,1
1.66999999995365E-07,0
0.007621875,1
1.25000000017472E-07,0
0.007617083,1
1.66999999995365E-07,0
0.007622333,1
1.25000000017472E-07,0
0.007620792,1
1.66999999995365E-07,0
0.007619916,1
1.66999999995365E-07,0
0.007626083,1
1.66999999995365E-07,0
0.007621042,1
1.24999999961961E-07,0
0.007628916,1
1.66999999995365E-07,0
0.007625833,1
1.25000000017472E-07,0
0.00762225,1
1.25000000017472E-07,0
0.007624084,1
1.66000000023647E-07,0
0.007624209,1
1.24999999961961E-07,0
0.007627833,1
1.66999999995365E-07,0
0.007625666,1
1.66999999995365E-07,0
0.007642542,1
1.66000000023647E-07,0
0.007633959,1
1.66000000023647E-07,0
0.007632042,1
1.66999999995365E-07,0
0.007637958,1
1.25000000017472E-07,0
0.007642625,1
1.25000000017472E-07,0
0.007634458,1
1.24999999961961E-07,0
0.007627959,1
1.25000000017472E-07,0
0.007635791,1
1.24999999961961E-07,0
0.007640542,1
1.66999999995365E-07,0
0.007632416,1
1.25000000017472E-07,0
0.00763125,1
1.25000000017472E-07,0
0.007639,1
1.67000000050876E-07,0
0.007631167,1
1.25000000017472E-07,0
0.007626291,1
1.25000000017472E-07,0
0.007634125,1
1.66999999939854E-07,0
0.007625625,1
1.66999999939854E-07,0
0.007627291,1
1.25000000017472E-07,0
0.007636292,1
1.67000000050876E-07,0
0.007636416,1
1.67000000050876E-07,0
0.007631292,1
1.2499999990645E-07,0
0.0076405,1
1.65999999968136E-07,0
